iter	Passed	Remaining
692	2471	1094
693	2472	1090
694	2474	1085
695	2475	1081
696	2476	1076
697	2477	1071
698	2478	1067
699	2479	1062
700	2485	1059
701	2486	1055
702	2487	1051
703	2489	1046
704	2490	1042
705	2491	1037
706	2492	1032
707	2493	1028
708	2494	1023
709	2499	1020
710	2500	1016
711	2502	1012
712	2503	1007
713	2504	1003
714	2505	998
715	2506	994
716	2507	989
717	2509	985
718	2510	981
719	2511	976
720	2513	972
721	2514	968
722	2515	963
723	2516	959
724	2517	954
725	2518	950
726	2519	946
727	2524	943
728	2527	939
729	2528	935
730	2535	932
731	2540	930
732	2542	926
733	2544	922
734	2545	917
735	2547	913
736	2549	909
737	2550	905
738	2556	902
739	2557	898
740	2558	894
741	2560	890
742	2563	886
743	2565	882
744	2566	878
745	2572	875
746	2573	871
747	2574	867
748	2576	863
749	2577	859
750	2578	854
751	2579	850
752	2580	846
753	2584	843
754	2586	839
755	2587	835
756	2588	830
757	2589	826
758	2590	822
759	2592	818
760	2593	814
761	2594	810
762	2595	806
763	2600	803
764	2601	799
765	2603	795
766	2604	791
767	2605	787
768	2606	782
769	2607	778
770	2608	774
771	2609	770
772	2616	768
773	2618	764
774	2619	760
775	2623	757
776	2625	753
777	2630	750
778	2631	746
779	2632	742
780	2634	738
781	2635	734
782	2636	730
783	2637	726
784	2639	722
785	2640	718
786	2645	715
787	2646	712
788	2647	708
789	2648	704
790	2650	700
791	2651	696
792	2653	692
793	2654	688
794	2655	684
795	2660	681
796	2662	678
797	2663	674
798	2665	670
799	2666	666
800	2667	662
801	2668	658
802	2669	654
803	2674	652
804	2676	648
805	2677	644
806	2678	640
807	2679	636
808	2681	632
809	2682	629
810	2683	625
811	2684	621
812	2689	618
813	2690	614
814	2692	611
815	2693	607
816	2694	603
817	2695	599
818	2697	596
819	2698	592
820	2699	588
821	2705	585
822	2707	582
823	2708	578
824	2709	574
825	2710	571
826	2711	567
827	2713	563
828	2714	559
829	2718	556
830	2720	553
831	2722	549
832	2724	546
833	2728	543
834	2729	539
835	2734	536
836	2735	532
837	2737	529
838	2738	525
839	2739	521
840	2740	518
841	2742	514
842	2743	510
843	2744	507
844	2749	504
845	2750	500
846	2752	497
847	2753	493
848	2755	490
849	2757	486
850	2758	483
851	2763	480
852	2765	476
853	2775	474
854	2781	471
855	2783	468
856	2785	464
857	2787	461
858	2788	457
859	2790	454
860	2797	451
861	2799	448
862	2800	444
863	2801	441
864	2803	437
865	2804	433
866	2805	430
867	2809	427
868	2812	423
